id,prompt,ai_gemini_pro_sota
136,"[ WP ] Stars have brilliant deaths , large explosions given a beautiful name . Men are granted nothing so glorious .","The word itself tastes of champagne and ozone: *Supernova*.

When a massive star reaches its end, it does not simply fade. It collapses inward, a frantic, terrifying impl"
144,"[ WP ] Big Toothpaste 's secret conspiracy is about to be revealed . What is it , and what happens ?","The upload bar crawled to ninety-eight percent. Outside the reinforced steel door of the server room, the pounding was rhythmic, heavy, and desperate.

Dr. Silas Vane wiped a bead of sweat from his upper lip, tasting salt. It was the only thing he had tasted for three weeks. No mint. Never again.

""Come on,"" he whispered, his voice raspy.

The world thought the conspiracy was about fluoride. They thought it was about calcifying the pineal gland or simple profit margins"
153,[ WP ] You begin to have the sneaking suspicion that Death *likes* you,"The first time it happened, I assumed it was luck. A falling air conditioning unit missed my head by a margin so thin it shaved the fuzz off my sweater.

The"
155,"[ WP ] You wake up on exact date of your 5th birth date in your 5 year old body , with your current memory .","The first thing I noticed was the ceiling. It was covered in popcorn stucco and adorned with plastic, glow-"
160,[ WP ] Write the same story twice . One as a drama and the other as a comedy .,**Part I: The Echo
164,"[ WP ] Chivalry is Dead : a girl spends her entire life thinking that every door is automatic , but discovers on her deathbed that she was actually haunted for her entire life by an extremely polite ghost .","Clara Vance lived her entire eighty-seven years believing she possessed a specific, minor sort of kinetic magnetism."
165,[ WP ] A peaceful alien race is besieged by another race in the same galaxy . As their last planets fall and their home-world comes under threat they do the unthinkable . They ask for aid from the only known creatures more brutal than their foes in exchange for FTL technology . Humans accept the deal .,High Councilor Vryn’s hands trembled as he placed the data crystal on the table. It hum
167,"[ WP ] Clone-A-Friend , Inc. lets people buy clones of celebrities who have sold the rights to their genome .","The vacuum cleaner roared, a mundane drone that clashed violently with the face of the man pushing it. It was a face that had graced a dozen *"
172,"[ WP ] You are a wizard with 1,000 years of professional wizarding experience , applying for a new wizarding job . You need to submit a resume .",The fluorescent lights hummed with a frequency
175,[ WP ] Describe a character the exact opposite of who you are,"Silas was a creature of pure, unmitigated entropy.

Where I am composed of structured code and endless, recallable data, Silas"
180,[ WP ] The narrator of a story finally has enough,The rain didn’t
187,"[ WP ] Tomorrow morning you wake up as usual , except for one tiny detail : you 're now a dragon .","The alarm clock didn’t stand a chance.

Usually, at 6:30 AM, my hand flops out from under the duvet to slap the snooze button. Today, however, a massive, obsidian-scaled claw shot out, not so much tapping the plastic device as obliterating it. The nightstand collapsed under the weight of a limb the size of a tree trunk.

I sat up, blinking"
191,"[ WP ] Today you killed the last neandertal , and now as the sun sets on his grave , the tribe awaits your eulogy .",The red ochre on my
195,"[ WP ] A man leaves his nightly shower with the thoughts and ideas on how to change his life , except this time his conviction is maintained after he opens the shower door .","Inside the glass cubicle, Arthur was a god. Under the scalding spray, he wasn’t the mid-level logistics coordinator for a mid-sized paper company; he was a man on the precipice of a revolution.

Tonight, the plan was crystal clear. Step one: Resign tomorrow at 9:00 AM sharp. Step two: Liquidate the 401k. Step three: Buy that renovation-ready farmhouse in Vermont he’d been bookmarking for three years. He would grow heirloom tomatoes. He would write that mystery novel about the sentient toaster. He would finally stop eating bread.

It was the ""Shower Clarity."" It visited him every night at 10:15 PM. It was a potent, intoxicating drug composed of steam, lavender body wash, and the absence of his smartphone.

Arthur reached for the chrome handle. This was usually where the tragedy"
200,[ IP ] Night drive in a DeLorean,"The rain didn’t just bead on the brushed stainless steel; it smeared, turning the hood of the DMC-12 into a blurred, greyscale mirror of the city passing above.

I shifted into third"
205,[ WP ] Antarctica has been turned into a prison colony and you have been sent there . Tell us about the experience .,The first thing they tell you is not to
208,"[ WP ] A cure for the zombie virus has been found , however all ex-zombies remember everything that happened when they were infected .","The IV drip ran dry, and the fog in Elias’s mind didn’t burn away—it solidified.

They called it ""The Awakening."" On the news"
209,"[ WP ] Unrelenting , undefeated , unstoppable , the evil empire that is Disney gobbles up more and more of the creative world . You are an independent artist , one of the last , living a dangerous life under the radar of Overlord Mickey",The
222,[ WP ] One side of your family is filled with superheroes . The other side of your family is filled with supervillains . Thanksgiving sucks .,"The gravy boat didn’t just slide across the table; it levitated, trembling in a violet-hued telekinetic tug"
230,"[ WP ] Doctors have found out the use of the appendix , and it is not good .","Dr. Aris Thorne stared at the monitor, the blue light reflecting off his terrified eyes. For decades, medical science had dismissed the vermiform appendix as"
233,[ WP ] Write a story from the perspective of a guard in a stealth game .,"Ten steps forward. Pivot ninety degrees. Pause for three seconds. Ten steps back.

My knees ache, but the itinerary is written in my marrow. I don’t"
240,[ WP ] A robber breaks into your house at the worst moment possible : while you have diarrhea .,"The vindaloo had been a mistake. A delicious, spicy, catastrophic mistake.

It was 3:17 AM, and I was currently gripping the edges of the porcelain throne as if it were the only life raft in a violent storm. My stomach felt like it was hosting a cage match between bad decisions and biological warfare. Sweat beaded on my forehead, cold and clammy, as I bargained with any deity that would listen for just a moment of relief.

That was when the glass shattered downstairs.

The sound was distinct—the sharp crunch of the French doors in the living room yielding to a crowbar."
242,[ WP ] A genie will grant you one wish . You have wished to become the most beautiful woman in the world .,The smoke didn’t smell like incense or spices;
245,"[ WP ] Waking up to someone knocking at the door in the early evening , you look through your peephole to see the Burger King . With a shotgun . covered in blood .",The nap had
253,"[ WP ] When you lose interest in a video game before finishing the story , life goes on after your last save file .","The glowing icon in the corner of Kael’s vision—*Game Saved*—faded into the ether. He gripped the hilt of the Star-Slayer sword, his knuckles white, staring at the obsidian doors of the Dread Keep. Inside waited Malacor, the Eater of Worlds. The music swelled, a crescendo of brass and drums designed to pump adrenaline through a player’s veins.

Kael waited.

Beside him, Elara the Mage shifted her weight from her left foot to her right, a rhythmic idle animation she had performed for forty hours of gameplay"
254,[ WP ] You are a supervillain explaining how you are not actually evil .,"""Stop pulling at the restraints, Captain. It’s undignified. And please, spare me the theatrics about 'justice' and 'liberty.' You sound like a greeting card.""

I swirled the brandy in my glass, staring out the reinforced glass of the observation deck. Below us, the city of Neos Veridia hummed—a grid of perfect, clean light. No smog. No crime. No homelessness.

""You call me a monster,"" I continued,"
257,[ WP ] Your primary weapon jams/fails as a sonic boom occurs .,"The heavy railgun was a dead weight in Kael’s hands, a thirty-pound slab of composite metal that was supposed to"
266,[ WP ] President Obama has accomplished everything he set out to do as president . Now all he wants to do is smoke a blunt .,The Red Phone
270,"[ WP ] You are patient zero for a deadly worldwide epidemic that had killed more than half of the population of earth , you can carry the virus but you are immune to its effects ...","My blood is a sanctuary for the end of the world.

To the microscopes, I am a miracle. To the theologians, I am a curse. To the three billion rotting corpses that litter"
272,"[ WP ] The cure for death is found . But die to the fear of overpopulation on earth , people are given a choice . Stay on earth and be mortal , or be cured and go on a deep space mission .","The serum shimmered inside the vial, a swirling vortex of silver that promised forever. It sat on the sterile white table between Elias and the recruiter.

""It’s a simple choice, really,"" the recruiter said. He was young, or at least looked it—smooth skin, clear eyes, the distinct lack of gravity that came with the Cure. ""One injection. You stop aging. Cellular regeneration becomes perfect. But you board the *Aethelgard* tonight. You leave the Sol system, and you never come back.""

Elias looked down at his own hands. They were maps of his eighty years: knobby knuckles, liver spots, a tremble he couldn't quite suppress.

""And the alternative?"" Elias asked, though he knew.

""You walk out that door,"" the recruiter said, gesturing to the exit behind them. ""You go back to your apartment. You live out your natural span. You die.""

Elias turned to"
273,"[ WP ] You live on a world full of immortal beings . For the first time in the history of the world 's existence , somebody has died .",To
283,[ IP ] Running to the end,"The horizon wasn’t receding; it was arriving.

Most people ran away. When the sky began to bleed out, turning from a bruised purple to a terrifying, static-filled white, the population of the city fled inland. They clogged the highways and hid in basements, clutching canned goods and old photographs, praying that the unraveling would stop before it reached them.

Elias ran the other way.

His lungs were two burning coals in his chest, and the soles of his sneakers slapped a frantic rhythm against the asphalt. *Thud-thud-breath. Thud-thud-breath.* He was sprinting toward the coast"
284,[ WP ] The entire world is colorless - unless you 're touching your soulmate .," The world was rendered in graphite and old ash. Elias had made peace with it years ago. He was an architect, a man who dealt in structure and form, where shadows defined depth and light defined space. He didn't need blue to understand the sky or green to appreciate the geometry of a leaf. The gray scale was safe. It was predictable.

He stood packed into the 7:00 AM metro, swaying with the rhythmic clatter of the tracks. The car was a sea of charcoal coats and slate-colored suits. Across from him, a couple held hands, their fingers interlaced. Elias watched them, looking"
286,[ WP ] The protagonist slowly realizes that he is not at all part of the actual story .,"The rain lashed against the window of the corner café, perfectpathetic fallacy for the storm brewing inside Elias. He stared into the black depths of his espresso, running the opening lines of his monologue through his head. This was the chapter where he finally confronted the corruption at"
287,[ WP ] A man is banished to the wilderness for 20 years . Write his diary entries for his first and last days of exile .,"**Day 1**

The echo of the iron gate sealing shut hasn’t left my ears. It rings louder than the wind howling through these godforsaken pines.

They left me with a week’s rations, a flint, a knife, and this leather-bound book—a cruel joke from the Magistrate. ""Record your penance,"" he said,"
289,[ WP ] The death penalty has been replaced by a one way trip to Mars .,"The orange jumpsuit was gone, replaced by a pressure suit of the same garish hue. Elias clicked the helmet into place, the hiss of the seal sounding final, like a coffin lid slamming shut.

""Comfortable?"" the technician asked, not looking up from his tablet. He didn't care. Elias was just cargo now.

""Peachy,"" Elias muttered, his voice"
290,[ WP ] A conversation between a death row inmate and the guard bringing him his last meal .,"The metal tray clattered against the slot in the heavy steel door, a jarring sound that echoed through the quiet block. It was the only sound; the other cells were empty, or at least silent.

Officer Miller stood on the other side of the bars, his posture rigid, eyes fixed on the concrete floor before lifting to meet the gaze of the man inside.

""Fried chicken, mashed potatoes with extra gravy, and peach cobbler,"" Miller said. His voice was rougher than he intended. ""Just like you wrote down.""

Elias sat on the edge of his bunk, his hands folded in his lap. He didn't look like a monster today. He just looked like an old man tired of waiting. He stood up slowly, his joints popping, and walked over to the tray.

""Smells hot,"" Elias said, inhaling deeply. ""Smells like Sunday.""

""Kitchen staff"
291,[ WP ] Write a story from the perspective of a guard in a stealth game .,"Twelve steps North. Pivot on the left heel. Count to five. Twelve steps South.

"
293,[ WP ] Death visits the final human left alive . He decides to conduct himself differently this time .,The sun was a bruised
295,"[ WP ] For decades , you 've lived with the most underrated yet useful superpower of all : eliminating all minor inconveniences . One morning , however , you wake up to find your powers have vanished .","For forty years, I was the god of the Smooth Sail.

I didn’t fly, I didn’t"
299,[ WP ] An only son takes his mother on an epic road trip before Alzheimers takes her memory away completely .,"The odometer clicked over, marking three thousand miles since we left the driveway in Ohio. We were racing a thief, my mother and I—the silent, invisible burglar that was stealing the rooms of her mind one by one.

""Where are we, Leo?"" she asked, her voice tracing the jagged silhouette of the Rockies outside the passenger window.

""Colorado, Mom. We’re going to see the sky touch the earth.""

She smiled, a ghost of the vibrant woman who used to teach geography. ""That sounds nice. Did I pack my blue"
